,word,variant
866,chequebooks,B
867,checkbook's,A
868,chequebook's,B
869,checkerboard,A
870,chequerboard,B
871,checkerboards,A
872,chequerboards,B
873,checkerboard's,A
874,chequerboard's,B
875,chilli,B
876,chili,A
877,chilli's,B
878,chili's,A
879,chiseled,A
880,chiselled,B
881,chiseling,A
882,chiselling,B
883,chiseler,A
884,chiseller,B
885,chiselers,A
886,chisellers,B
887,chiseler's,A
888,chiseller's,B
889,chocolaty,A
890,chocolatey,B
891,christianisation,B
892,christianisations,B
893,christianisation's,B
894,christianise,B
895,christianised,B
896,christianising,B
897,christianises,B
898,cicatrisation,B
899,cicatrisations,B
900,cicatrisation's,B
901,cicatrise,B
902,cicatrised,B
903,cicatrising,B
904,cicatrises,B
905,civilisation,B
906,civilisations,B
907,civilisation's,B
908,civilise,B
909,civilised,B
910,civilising,B
911,civilises,B
912,civiliser,B
913,civilisers,B
914,civiliser's,B
915,clamor,A
916,clamour,B
917,clamored,A
918,clamoured,B
919,clamoring,A
920,clamouring,B
921,clamors,A
922,clamours,B
923,clamor's,A
924,clamour's,B
925,clangor,A
926,clangour,B
927,clangored,A
928,clangoured,B
929,clangoring,A
930,clangouring,B
931,clangors,A
932,clangours,B
933,clangor's,A
934,clangour's,B
935,clarinetist,A
936,clarinettist,B
937,clarinetists,A
938,clarinettists,B
939,clarinetist's,A
940,clarinettist's,B
941,classicise,B
942,classicised,B
943,classicising,B
944,classicises,B
945,cognisable,B
946,cognisabler,B
947,cognisablest,B
948,cognisance,B
949,cognisances,B
950,cognisance's,B
951,cognisant,B
952,cognisanter,B
953,cognisantest,B
954,collectible,A
955,collectable,B
956,collectibles,A
957,collectables,B
958,collectible's,A
959,collectable's,B
960,collectivisation,B
961,collectivisations,B
962,collectivisation's,B
963,collectivise,B
964,collectivised,B
965,collectivising,B
966,collectivises,B
967,colonisation,B
968,colonisations,B
969,colonisation's,B
970,colonise,B
971,colonised,B
972,colonising,B
973,colonises,B
974,coloniser,B
975,colonisers,B
976,coloniser's,B
977,color,A
978,colour,B
979,colored,A
980,coloured,B
981,colored's,A
982,coloured's,B
983,colorer,A
984,colourer,B
985,color's,A
986,colour's,B
987,coloreds,A
988,coloureds,B
989,colorers,A
990,colourers,B
991,colorer's,A
992,colourer's,B
993,coloring,A
994,colouring,B
995,colorings,A
996,colourings,B
997,coloring's,A
998,colouring's,B
999,colorrest,A
1000,colourest,B
1001,colors,A
1002,colours,B
1003,colorable,A
1004,colourable,B
1005,colorabler,A
1006,colourabler,B
1007,colorables,A
1008,colourables,B
1009,colorablest,A
1010,colourablest,B
1011,colorable's,A
1012,colourable's,B
1013,colorant,A
1014,colourant,B
1015,colorants,A
1016,colourants,B
1017,colorant's,A
1018,colourant's,B
1019,colorful,A
1020,colourful,B
1021,colorfuler,A
1022,colourfuler,B
1023,colorfulest,A
1024,colourfulest,B
1025,colorfully,A
1026,colourfully,B
1027,colorfullier,A
1028,colourfullier,B
1029,colorfulliest,A
1030,colourfulliest,B
1031,colorfulness,A
1032,colourfulness,B
1033,colorfulnesses,A
1034,colourfulnesses,B
1035,colorfulness's,A
1036,colourfulness's,B
1037,colorist,A
1038,colourist,B
1039,colorists,A
1040,colourists,B
1041,colorist's,A
1042,colourist's,B
1043,colorless,A
1044,colourless,B
1045,colorlesser,A
1046,colourlesser,B
1047,colorlessest,A
1048,colourlessest,B
1049,colorlessly,A
1050,colourlessly,B
1051,colorlesslier,A
1052,colourlesslier,B
1053,colorlessliest,A
1054,colourlessliest,B
1055,colorway,A
1056,colourway,B
1057,colorways,A
1058,colourways,B
1059,commercialisation,B
1060,commercialisations,B
1061,commercialisation's,B
1062,commercialise,B
1063,commercialised,B
1064,commercialising,B
1065,commercialises,B
1066,compartmentalisation,B
